,fare_amount,passenger_count,payment_type,s_validation_status_code,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance
76,9.5,1,2,P,2017-03-01 00:08:45,2017-03-01 00:00:35,2.40
77,12,1,1,P,2017-03-01 00:09:54,2017-03-01 00:00:36,3.39
78,7.5,1,2,P,2017-03-01 00:06:44,2017-03-01 00:00:36,1.50
79,11.5,1,1,P,2017-03-01 00:11:36,2017-03-01 00:00:37,2.76
80,12.5,1,1,P,2017-03-01 00:15:04,2017-03-01 00:00:37,3.00
81,56.5,1,1,P,2017-03-01 00:41:49,2017-03-01 00:00:39,19.89
82,9,1,1,P,2017-03-01 00:08:23,2017-03-01 00:00:39,2.12
83,9.5,1,1,P,2017-03-01 00:11:05,2017-03-01 00:00:41,2.20
84,23,1,1,P,2017-03-01 00:18:31,2017-03-01 00:00:41,7.30
85,8.5,1,2,P,2017-03-01 00:10:59,2017-03-01 00:00:41,1.36
86,9,1,2,P,2017-03-01 00:12:08,2017-03-01 00:00:41,1.00
87,11.5,1,1,P,2017-03-01 00:14:42,2017-03-01 00:00:43,2.16
88,6.5,1,1,P,2017-03-01 00:05:56,2017-03-01 00:00:43,1.26
89,24.5,1,2,P,2017-03-01 00:30:13,2017-03-01 00:00:44,6.59
90,11.5,1,1,P,2017-03-01 00:11:26,2017-03-01 00:00:44,3.14
91,50.5,1,2,P,2017-03-01 00:38:15,2017-03-01 00:00:44,17.60
92,8,1,1,P,2017-03-01 00:08:12,2017-03-01 00:00:45,1.70
93,7.5,1,1,P,2017-03-01 00:09:29,2017-03-01 00:00:45,1.00
94,4.5,1,1,P,2017-03-01 00:03:31,2017-03-01 00:00:45,.70
95,8.5,1,1,P,2017-03-01 00:10:15,2017-03-01 00:00:46,1.75
96,52,1,1,P,2017-03-01 00:28:06,2017-03-01 00:00:46,20.10
97,17.5,1,1,P,2017-03-01 00:19:08,2017-03-01 00:00:46,5.05
98,13.5,1,2,P,2017-03-01 00:18:13,2017-03-01 00:00:46,3.10
99,19,1,1,P,2017-03-01 00:17:24,2017-03-01 00:00:47,5.70
